customerID,gender,State,Account length,Area code,Contract,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Churn value,Total Call duration,Complaints,PaperlessBilling,PaymentMethod,Recharge Frequency,Total_charge,Avg_Days_Between_Recharge,estimated_recharge_freq
7590-VHVEG,Female,LA,117,408,Month-to-month,No,No,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,FALSE,0,760.6,0,Yes,Electronic check,1.47,73.32,81.83306056,0.3666
5575-GNVDE,Male,IN,65,415,One year,No,No,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,TRUE,1,579.1,1,No,Mailed check,1.08,54.2,110.701107,0.271
3668-QPYBK,Male,NY,161,415,Month-to-month,No,No,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,TRUE,1,816.7,1,Yes,Mailed check,1.85,92.29,65.01246072,0.46145
7795-CFOCW,Male,SC,111,415,One year,No,No,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,FALSE,0,445,0,No,Bank transfer (automatic),0.82,41.05,146.1632156,0.20525
9237-HQITU,Female,HI,49,510,Month-to-month,No,No,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1,FALSE,0,524.2,0,Yes,Electronic check,0.99,49.6,120.9677419,0.248
9305-CDSKC,Female,AK,36,408,Month-to-month,No,Yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,FALSE,0,452.6,0,Yes,Electronic check,0.97,48.42,123.9157373,0.2421
1452-KIOVK,Male,MI,65,415,Month-to-month,No,No,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,FALSE,0,521.8,0,Yes,Credit card (automatic),1.19,59.36,101.0781671,0.2968
6713-OKOMC,Female,ID,119,415,Month-to-month,No,No,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,TRUE,1,542.4,1,No,Mailed check,1.11,55.53,108.0497029,0.27765
7892-POOKP,Female,VA,10,408,Month-to-month,No,No,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,FALSE,0,670.5,0,Yes,Electronic check,1.27,63.62,94.30996542,0.3181
6388-TABGU,Male,WI,68,415,One year,No,No,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,FALSE,0,537.2,0,No,Bank transfer (automatic),1.11,55.36,108.3815029,0.2768
9763-GRSKD,Male,MN,74,510,Month-to-month,No,Yes,33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,FALSE,0,592.4,0,Yes,Mailed check,1.28,64,93.75,0.32
7469-LKBCI,Male,HI,85,415,Two year,No,No,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,FALSE,0,593.2,0,No,Credit card (automatic),1.3,65.16,92.08103131,0.3258
8091-TTVAX,Male,MN,46,415,One year,No,No,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,FALSE,0,564.2,0,No,Credit card (automatic),1.21,60.57,99.05894007,0.30285
0280-XJGEX,Male,VT,128,510,Month-to-month,No,Yes,29,179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,0,FALSE,0,736.8,0,Yes,Bank transfer (automatic),1.33,66.54,90.17132552,0.3327
5129-JLPIS,Male,LA,155,415,Month-to-month,No,No,0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,TRUE,1,599.2,0,Yes,Electronic check,1.24,62.03,96.72738997,0.31015
3655-SNQYZ,Female,MT,73,415,Two year,No,No,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,FALSE,0,560.5,0,No,Credit card (automatic),1.13,56.69,105.8387723,0.28345
8191-XWSZG,Female,ID,77,415,One year,No,No,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,TRUE,1,742.5,0,No,Mailed check,1.51,75.32,79.66011683,0.3766
9959-WOFKT,Male,MA,108,415,Two year,No,No,0,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,FALSE,0,511,0,No,Bank transfer (automatic),1.12,56.13,106.8947087,0.28065
4190-MFLUW,Female,KY,95,408,Month-to-month,No,No,0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,FALSE,0,576.4,0,No,Credit card (automatic),1.06,52.98,113.2502831,0.2649
4183-MYFRB,Female,MI,36,510,Month-to-month,No,Yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2,FALSE,0,679.8,0,Yes,Electronic check,1.52,75.88,79.07221929,0.3794
8779-QRDMV,Male,CO,141,415,Month-to-month,No,Yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,FALSE,0,509.2,0,Yes,Electronic check,0.98,49,122.4489796,0.245
1680-VDCWW,Male,AZ,63,415,One year,No,No,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,FALSE,0,449.3,0,No,Bank transfer (automatic),0.73,36.48,164.4736842,0.1824
1066-JKSGK,Male,ID,97,408,Month-to-month,No,No,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,FALSE,0,606.6,0,No,Mailed check,1.36,67.83,88.45643521,0.33915
3638-WEABW,Female,CA,75,408,Two year,No,No,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,FALSE,0,587.3,0,Yes,Credit card (automatic),1.1,54.92,109.2498179,0.2746
6322-HRPFA,Male,WA,127,408,Month-to-month,No,No,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,FALSE,0,567.3,0,No,Credit card (automatic),1.1,55.09,108.9126883,0.27545
6865-JZNKO,Female,LA,121,408,Month-to-month,No,No,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,FALSE,0,570,0,Yes,Bank transfer (automatic),1.18,58.99,101.7121546,0.29495
6467-CHFZW,Male,NE,117,415,Month-to-month,No,No,0,102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,1,FALSE,0,618.6,0,Yes,Electronic check,1.02,51.24,117.0960187,0.2562
8665-UTDHZ,Male,OH,65,408,Month-to-month,No,No,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,FALSE,0,580.3,0,No,Electronic check,1.15,57.6,104.1666667,0.288
5248-YGIJN,Male,MO,6,510,Two year,No,No,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,FALSE,0,629.1,0,Yes,Credit card (automatic),1.28,63.82,94.01441554,0.3191
8773-HHUOZ,Female,AL,32,510,Month-to-month,No,No,0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,FALSE,0,578.6,0,Yes,Mailed check,1.28,63.81,94.02914904,0.31905
3841-NFECX,Female,NH,64,408,Two year,No,Yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,FALSE,0,527.1,0,Yes,Credit card (automatic),1.11,55.65,107.8167116,0.27825
4929-XIHVW,Male,NM,25,415,Month-to-month,No,No,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,FALSE,0,610.2,0,Yes,Credit card (automatic),1.06,53.2,112.7819549,0.266
6827-IEAUQ,Female,OR,65,415,One year,No,No,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,FALSE,0,492.2,0,No,Mailed check,0.94,47.09,127.4155872,0.23545
7310-EGVHZ,Male,MI,127,415,Month-to-month,No,No,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,FALSE,0,638.2,0,No,Bank transfer (automatic),1.32,65.75,91.25475285,0.32875
3413-BMNZE,Male,AZ,93,415,Month-to-month,No,No,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,FALSE,0,589.2,0,No,Bank transfer (automatic),1.44,72.09,83.22929671,0.36045
6234-RAAPL,Female,TX,208,510,Two year,No,No,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,TRUE,1,695.2,0,No,Bank transfer (automatic),1.63,81.57,73.55645458,0.40785
6047-YHPVI,Male,IN,122,415,Month-to-month,No,No,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,FALSE,0,521.2,0,Yes,Electronic check,1.21,60.37,99.3871128,0.30185
6572-ADKRS,Female,LA,99,415,Month-to-month,No,No,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,FALSE,0,596.5,0,Yes,Credit card (automatic),1.32,65.82,91.15770283,0.3291
5380-WJKOV,Male,MS,65,415,Month-to-month,No,No,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,FALSE,0,633.6,0,Yes,Electronic check,1.15,57.44,104.4568245,0.2872
8168-UQWWF,Female,IN,65,415,Month-to-month,No,No,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,FALSE,0,700.7,0,Yes,Bank transfer (automatic),1.36,68.19,87.98944127,0.34095
8865-TNMNX,Male,KY,45,415,One year,No,Yes,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,FALSE,0,685,0,No,Mailed check,1.41,70.6,84.98583569,0.353
9489-DEDVP,Female,MN,139,510,Two year,No,No,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,TRUE,1,549.5,1,Yes,Credit card (automatic),1.05,52.27,114.7885977,0.26135
9867-JCZSP,Female,WY,215,510,One year,No,No,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,FALSE,0,441.8,0,No,Mailed check,0.75,37.58,159.6593933,0.1879
4671-VJLCL,Female,AZ,94,408,Two year,No,No,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,FALSE,0,639.3,1,Yes,Credit card (automatic),1.23,61.66,97.30781706,0.3083
4080-IIARD,Female,NM,119,510,Month-to-month,No,Yes,23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,2,FALSE,0,672.2,0,Yes,Electronic check,1.27,63.28,94.81668774,0.3164
3714-NTNFO,Female,MI,86,510,Month-to-month,No,Yes,41,119,101,20.23,230,134,19.55,236.9,58,10.66,9.5,3,2.57,0,FALSE,0,595.4,0,Yes,Electronic check,1.06,53.01,113.1861913,0.26505
5948-UJZLF,Male,FL,106,408,Month-to-month,No,Yes,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,FALSE,0,569.6,1,No,Mailed check,1.16,58.2,103.0927835,0.291
7760-OYPDY,Female,KS,92,408,Month-to-month,Yes,No,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,TRUE,1,475.3,0,Yes,Electronic check,0.78,38.78,154.7189273,0.1939
7639-LIAYI,Male,SC,78,510,Two year,No,No,0,168.3,110,28.61,221.2,73,18.8,241,136,10.85,12.5,1,3.38,1,FALSE,0,643,0,Yes,Credit card (automatic),1.23,61.64,97.33939001,0.3082
2954-PIBKO,Female,NC,155,408,Two year,No,No,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,FALSE,0,611.8,0,Yes,Credit card (automatic),1.4,69.98,85.73878251,0.3499
8012-SOUDQ,Female,MO,64,510,Month-to-month,No,Yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,FALSE,0,382.5,0,Yes,Electronic check,0.71,35.48,169.1093574,0.1774
9420-LOJKX,Female,WA,83,415,Month-to-month,No,No,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,FALSE,0,585.5,0,Yes,Credit card (automatic),1.31,65.5,91.60305344,0.3275
6575-SUVOI,Female,SD,144,408,Month-to-month,No,Yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,TRUE,1,533.9,0,Yes,Credit card (automatic),1.08,54.16,110.7828656,0.2708
7495-OOKFY,Female,MT,143,415,Month-to-month,No,No,0,172.3,97,29.29,174,108,14.79,188.2,119,8.47,13,4,3.51,2,FALSE,0,547.5,0,Yes,Credit card (automatic),1.12,56.06,107.0281841,0.2803
4667-QONEA,Female,MN,81,415,One year,No,No,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,FALSE,0,613,0,Yes,Credit card (automatic),1.26,63.17,94.98179516,0.31585
1658-BYGOY,Male,SD,145,408,Month-to-month,No,Yes,24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,FALSE,0,590.9,0,Yes,Electronic check,1.11,55.56,107.9913607,0.2778
8769-KKTPH,Female,OK,89,510,One year,No,No,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,TRUE,1,882.2,0,Yes,Credit card (automatic),1.79,89.31,67.18172657,0.44655
